epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4188,1.07373,3.77696,1.26214,0.18531,0.56003,0.2594,0.18046,0.67665,2.30839,1.02767,7.777e-05,7.777e-05,7.777e-05
2,21.4822,0.93584,2.0813,1.15802,0.56624,0.74868,0.64088,0.47152,0.65991,2.33282,0.9346,0.0001639,0.0001639,0.0001639
3,28.0681,0.80884,1.34624,1.04337,0.67306,0.71183,0.78727,0.58521,0.76949,1.59748,1.02906,0.000247098,0.000247098,0.000247098
4,34.5855,0.79136,1.00131,1.02232,0.82166,0.90517,0.93014,0.75644,0.66942,0.90711,0.93604,0.000327362,0.000327362,0.000327362
5,39.5014,0.78769,0.89623,1.04555,0.75236,0.8639,0.91834,0.71651,0.75966,0.90596,1.01502,0.000404693,0.000404693,0.000404693
6,44.1051,0.82261,0.84945,1.06752,0.65668,0.58398,0.642,0.4503,0.9544,1.40889,1.17442,0.000479091,0.000479091,0.000479091
7,48.002,0.76237,0.7689,1.03598,0.62831,0.60095,0.63768,0.46552,0.88494,1.31095,1.13057,0.000550556,0.000550556,0.000550556
8,51.6493,0.7738,0.66941,1.00199,0.61582,0.7127,0.70644,0.52149,0.87428,1.25168,1.12916,0.000619088,0.000619088,0.000619088
9,56.3855,0.76055,0.68565,1.02242,0.77617,0.75201,0.83497,0.63521,0.78081,1.03387,1.1078,0.000684687,0.000684687,0.000684687
10,60.2409,0.72619,0.62007,1.00339,0.86306,0.73774,0.90301,0.70681,0.71162,0.91011,1.04537,0.000747353,0.000747353,0.000747353
11,64.0059,0.81185,0.66211,1.10464,0.91699,0.80503,0.93233,0.7247,0.78355,0.80935,1.08888,0.000807086,0.000807086,0.000807086
12,68.8413,0.78474,0.62409,1.04913,0.9443,0.82416,0.92637,0.73115,0.79141,0.72728,1.08992,0.000863886,0.000863886,0.000863886
13,72.9078,0.78306,0.67174,1.06321,0.79511,0.85569,0.919,0.6942,0.80307,0.82932,1.09832,0.000891022,0.000891022,0.000891022
14,76.606,0.74044,0.63107,1.02269,0.88297,0.81705,0.89516,0.68827,0.78664,0.79187,1.09904,0.000872691,0.000872691,0.000872691
15,81.0191,0.71145,0.57823,1.00987,0.89281,0.8018,0.91091,0.72412,0.7465,0.70713,1.09122,0.000854359,0.000854359,0.000854359
16,85.2282,0.70581,0.5888,0.97337,0.79665,0.85241,0.89825,0.71071,0.75265,0.73655,1.08474,0.000836027,0.000836027,0.000836027
17,88.7942,0.7005,0.55605,0.98423,0.80472,0.83229,0.91124,0.72544,0.71929,0.67025,1.03238,0.000817696,0.000817696,0.000817696
18,93.6031,0.73145,0.54014,1.00838,0.95794,0.92916,0.98906,0.8382,0.6018,0.5512,0.95412,0.000799365,0.000799365,0.000799365
19,97.7888,0.66291,0.51469,0.97325,0.9016,0.95083,0.96366,0.82564,0.60652,0.54567,0.94258,0.000781033,0.000781033,0.000781033
20,101.463,0.73794,0.5717,1.02198,0.90984,0.87841,0.95514,0.78286,0.65846,0.58199,0.9737,0.000762702,0.000762702,0.000762702
21,105.487,0.70119,0.50244,1.01514,0.96337,0.92668,0.9812,0.83377,0.63641,0.55497,0.9474,0.00074437,0.00074437,0.00074437
22,110.183,0.68296,0.54522,0.98461,0.94578,0.89875,0.97488,0.83447,0.61945,0.62259,0.9346,0.000726038,0.000726038,0.000726038
23,113.962,0.72639,0.60097,1.01829,0.9513,0.8918,0.97404,0.81571,0.68,0.59842,0.96962,0.000707707,0.000707707,0.000707707
24,117.676,0.66469,0.54028,0.99311,0.95571,0.92316,0.98233,0.84365,0.65352,0.52296,0.95446,0.000689376,0.000689376,0.000689376
25,122.594,0.64762,0.51141,0.97924,0.96467,0.93811,0.98963,0.83206,0.63022,0.46376,0.92868,0.000671044,0.000671044,0.000671044
26,126.549,0.65792,0.48317,0.98638,0.96188,0.95632,0.98514,0.83635,0.60982,0.42227,0.92085,0.000652712,0.000652712,0.000652712
27,130.402,0.65402,0.53399,0.9755,0.94902,0.93777,0.98,0.82348,0.59929,0.46878,0.92302,0.000634381,0.000634381,0.000634381
28,135.353,0.64658,0.47981,0.97775,0.92399,0.95966,0.98365,0.8078,0.59607,0.48609,0.92819,0.000616049,0.000616049,0.000616049
29,139.405,0.63688,0.46149,0.97697,0.91445,0.94263,0.97194,0.8097,0.60615,0.48326,0.92991,0.000597718,0.000597718,0.000597718
30,143.402,0.62784,0.48323,0.95539,0.91444,0.93913,0.97654,0.82313,0.6164,0.4714,0.93067,0.000579386,0.000579386,0.000579386
31,148.174,0.6736,0.52098,1.00398,0.97085,0.96555,0.99,0.8477,0.59865,0.41389,0.92503,0.000561055,0.000561055,0.000561055
32,152.328,0.60978,0.45401,0.96621,0.99202,0.9637,0.99424,0.85431,0.58493,0.39724,0.92591,0.000542723,0.000542723,0.000542723
33,156.428,0.62575,0.47604,0.99352,0.97408,0.9706,0.99111,0.84953,0.60591,0.40351,0.93607,0.000524392,0.000524392,0.000524392
34,161.529,0.59779,0.47716,0.97404,0.96929,0.98337,0.99,0.83867,0.64044,0.44006,0.96558,0.00050606,0.00050606,0.00050606
35,165.349,0.5891,0.44556,0.9714,0.9694,0.97746,0.99186,0.85276,0.57847,0.41215,0.93345,0.000487729,0.000487729,0.000487729
36,169.257,0.6019,0.42623,0.95052,0.98742,0.95933,0.99283,0.87178,0.555,0.4034,0.9226,0.000469397,0.000469397,0.000469397
37,174.144,0.58914,0.4299,0.97092,0.97722,0.95418,0.99317,0.88141,0.55551,0.3942,0.91162,0.000451066,0.000451066,0.000451066
38,177.817,0.57058,0.3849,0.92071,0.98704,0.96356,0.9935,0.86292,0.56677,0.38419,0.92475,0.000432734,0.000432734,0.000432734
39,181.681,0.58018,0.38876,0.95388,0.95293,0.96051,0.986,0.8534,0.57899,0.38964,0.9271,0.000414403,0.000414403,0.000414403
40,186.402,0.58758,0.40074,0.94384,0.95402,0.95812,0.98252,0.85888,0.57371,0.37035,0.91356,0.000396071,0.000396071,0.000396071
41,190.695,0.55067,0.37296,0.90083,0.95723,0.95611,0.98106,0.88662,0.5425,0.37209,0.902,0.00037774,0.00037774,0.00037774
